path	lines
src/compat/ActorRuntimeRegistry.cpp	847
src/compat/ActorRuntimeRegistry.hpp	278
src/compat/ActorShadowCsvCompat.cpp	333
src/compat/ActorShadowCsvCompat.hpp	17
src/compat/AudioFacadeCompat.cpp	876
src/compat/AudioFacadeCompat.hpp	29
src/compat/BinderCompat.cpp	22
src/compat/CameraLocalUtilRuntime.cpp	427
src/compat/CameraLocalUtilRuntime.hpp	39
src/compat/CameraViewRuntime.cpp	24
src/compat/CameraViewRuntime.hpp	30
src/compat/CapturedFrameBlurService.cpp	245
src/compat/CapturedFrameBlurService.hpp	46
src/compat/ClippingDirectorOwnership.cpp	109
src/compat/ClippingDirectorOwnership.hpp	44
src/compat/CollisionDirectorOwnership.cpp	84
src/compat/CollisionDirectorOwnership.hpp	40
src/compat/CollisionPartsCompat.cpp	290
src/compat/CollisionPartsCompat.hpp	62
src/compat/Cp932Literal.hpp	116
src/compat/DisabledAudioBackend.cpp	66
src/compat/DisabledAudioBackend.hpp	48
src/compat/DisabledAudioSystemWrapper.cpp	109
src/compat/DisabledObjectAudio.cpp	107
src/compat/DisabledObjectAudio.hpp	15
src/compat/DisabledObjectAudioService.cpp	200
src/compat/DisabledObjectAudioService.hpp	64
src/compat/DrawSyncManagerLifetime.cpp	85
src/compat/DrawSyncManagerLifetime.hpp	53
src/compat/EffectSystemOwnership.cpp	291
src/compat/EffectSystemOwnership.hpp	38
src/compat/GameActorPhysicsCompat.cpp	308
src/compat/GameMapCollisionCompat.cpp	291
src/compat/GameRuntimeCompat.cpp	55
src/compat/GlobalGravityOwnership.cpp	511
src/compat/GlobalGravityOwnership.hpp	60
src/compat/HitInfoCompat.cpp	338
src/compat/HitInfoCompat.hpp	13
src/compat/ImageEffectOwnership.cpp	172
src/compat/ImageEffectOwnership.hpp	28
src/compat/InformationMessageCompat.cpp	129
src/compat/InformationMessageCompat.hpp	34
src/compat/J3DMaterialLoaderFactoryCompat.cpp	682
src/compat/J3DModelLoaderCompat.cpp	76
src/compat/J3DModelLoaderCompat.hpp	9
src/compat/J3dCommandScope.cpp	39
src/compat/J3dCommandScope.hpp	39
src/compat/J3dSystemCompat.cpp	14
src/compat/J3dSystemCompat.hpp	10
src/compat/JAudioCategoryVolumeOwnership.cpp	86
src/compat/JAudioCategoryVolumeOwnership.hpp	39
src/compat/JAudioLimitedSoundOwnership.cpp	36
src/compat/JAudioLimitedSoundOwnership.hpp	22
