symbol	name	archive	member	sources	mapping	present_in_executable	source_newer_than_object	provenance
__ZN2MR11getRootPaneEPK11LayoutActor	MR::getRootPane(LayoutActor const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	LayoutUtil.cpp.o	src/Game/Util/LayoutUtil.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN2MR11getRootPaneEPK11LayoutActor	MR::getRootPane(LayoutActor const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	OriginalLayoutPaneQueries.cpp.o	src/compat/OriginalLayoutPaneQueries.cpp	unique	yes	false	unreviewed
__ZN2MR14copyPaneRotateEPN9JGeometry5TVec3IfEEPK11LayoutActorPKc	MR::copyPaneRotate(JGeometry::TVec3<float>*, LayoutActor const*, char const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	LayoutUtil.cpp.o	src/Game/Util/LayoutUtil.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN2MR14copyPaneRotateEPN9JGeometry5TVec3IfEEPK11LayoutActorPKc	MR::copyPaneRotate(JGeometry::TVec3<float>*, LayoutActor const*, char const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	OriginalLayoutPaneQueries.cpp.o	src/compat/OriginalLayoutPaneQueries.cpp	unique	yes	false	unreviewed
__ZN2MR21createAndAddGroupCtrlEP11LayoutActorPKcj	MR::createAndAddGroupCtrl(LayoutActor*, char const*, unsigned int)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	LayoutUtil.cpp.o	src/Game/Util/LayoutUtil.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN2MR21createAndAddGroupCtrlEP11LayoutActorPKcj	MR::createAndAddGroupCtrl(LayoutActor*, char const*, unsigned int)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	OriginalLayoutPaneQueries.cpp.o	src/compat/OriginalLayoutPaneQueries.cpp	unique	yes	false	unreviewed
__ZN10RumbleData10getPatternEPKc	RumbleData::getPattern(char const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleData.cpp.o	src/Game/System/WPadRumbleData.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN10RumbleData10getPatternEPKc	RumbleData::getPattern(char const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleDataSource.cpp.o	src/compat/WPadRumbleDataSource.cpp	unique	yes	false	unreviewed
__ZN10RumbleData12getTableSizeEv	RumbleData::getTableSize()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleData.cpp.o	src/Game/System/WPadRumbleData.cpp	unique	no	false	canonical-path-see-source-closeness-report
__ZN10RumbleData12getTableSizeEv	RumbleData::getTableSize()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleDataSource.cpp.o	src/compat/WPadRumbleDataSource.cpp	unique	no	false	unreviewed
__ZN10RumbleData13initHashValueEv	RumbleData::initHashValue()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleData.cpp.o	src/Game/System/WPadRumbleData.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN10RumbleData13initHashValueEv	RumbleData::initHashValue()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleDataSource.cpp.o	src/compat/WPadRumbleDataSource.cpp	unique	yes	false	unreviewed
__ZN10RumbleData18checkHashCollisionEv	RumbleData::checkHashCollision()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleData.cpp.o	src/Game/System/WPadRumbleData.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN10RumbleData18checkHashCollisionEv	RumbleData::checkHashCollision()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleDataSource.cpp.o	src/compat/WPadRumbleDataSource.cpp	unique	yes	false	unreviewed
__ZN10RumbleData7getDataEt	RumbleData::getData(unsigned short)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleData.cpp.o	src/Game/System/WPadRumbleData.cpp	unique	no	false	canonical-path-see-source-closeness-report
__ZN10RumbleData7getDataEt	RumbleData::getData(unsigned short)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	WPadRumbleDataSource.cpp.o	src/compat/WPadRumbleDataSource.cpp	unique	no	false	unreviewed
__ZN2MR30convertPaneLocalPosToScreenPosEPN9JGeometry5TVec2IfEEPKN4nw4r3lyt4PaneERKS2_	MR::convertPaneLocalPosToScreenPos(JGeometry::TVec2<float>*, nw4r::lyt::Pane const*, JGeometry::TVec2<float> const&)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	LayoutCoreUtil.cpp.o	src/Game/Screen/LayoutCoreUtil.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN2MR30convertPaneLocalPosToScreenPosEPN9JGeometry5TVec2IfEEPKN4nw4r3lyt4PaneERKS2_	MR::convertPaneLocalPosToScreenPos(JGeometry::TVec2<float>*, nw4r::lyt::Pane const*, JGeometry::TVec2<float> const&)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	OriginalLayoutPaneQueries.cpp.o	src/compat/OriginalLayoutPaneQueries.cpp	unique	yes	false	unreviewed
__ZN9J3DModelX12setDynamicDLEPhj	J3DModelX::setDynamicDL(unsigned char*, unsigned int)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	MarioActorDraw.cpp.o	src/Game/Player/MarioActorDraw.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN9J3DModelX12setDynamicDLEPhj	J3DModelX::setDynamicDL(unsigned char*, unsigned int)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	J3DModelXDrawCompat.cpp.o	src/compat/J3DModelXDrawCompat.cpp	unique	yes	false	unreviewed
__ZN9J3DModelX14swapDrawBufferEj	J3DModelX::swapDrawBuffer(unsigned int)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	MarioActorDraw.cpp.o	src/Game/Player/MarioActorDraw.cpp	unique	no	false	canonical-path-see-source-closeness-report
__ZN9J3DModelX14swapDrawBufferEj	J3DModelX::swapDrawBuffer(unsigned int)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	J3DModelXDrawCompat.cpp.o	src/compat/J3DModelXDrawCompat.cpp	unique	no	false	unreviewed
__ZN9J3DModelX18copyExtraMtxBufferEPKS_	J3DModelX::copyExtraMtxBuffer(J3DModelX const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	MarioActorDraw.cpp.o	src/Game/Player/MarioActorDraw.cpp	unique	no	false	canonical-path-see-source-closeness-report
__ZN9J3DModelX18copyExtraMtxBufferEPKS_	J3DModelX::copyExtraMtxBuffer(J3DModelX const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	J3DModelXDrawCompat.cpp.o	src/compat/J3DModelXDrawCompat.cpp	unique	no	false	unreviewed
__Z11FORCE_SCALEv	FORCE_SCALE()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	MarioEnforce.cpp.o	src/Game/Player/MarioEnforce.cpp	unique	no	false	canonical-path-see-source-closeness-report
__Z11FORCE_SCALEv	FORCE_SCALE()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	CoinHolder.cpp.o	src/Game/MapObj/CoinHolder.cpp	unique	no	false	canonical-path-see-source-closeness-report
__Z11FORCE_SCALEv	FORCE_SCALE()	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	OriginalCollisionPartsCompat.cpp.o	src/compat/OriginalCollisionPartsCompat.cpp	unique	no	false	unreviewed
__ZN11MarioAccess16changeAnimationEEPKcS1_	MarioAccess::changeAnimationE(char const*, char const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	MarioAccess.cpp.o	src/Game/Player/MarioAccess.cpp	unique	yes	false	canonical-path-see-source-closeness-report
__ZN11MarioAccess16changeAnimationEEPKcS1_	MarioAccess::changeAnimationE(char const*, char const*)	/Users/frityet/Projects/petari/build/macosx/arm64/debug/libsmg-pc-game.a	OriginalMarioAnimationAccess.cpp.o	src/compat/OriginalMarioAnimationAccess.cpp	unique	yes	false	unreviewed
