rel_path	classification	target_surface	source_path	note
Animation/AnmPlayer.cpp	compat-temporary	no	decomp/src/Game/Animation/AnmPlayer.cpp	source exists but pc-port behavior/shape differs
Animation/BckCtrl.cpp	compat-temporary	no	decomp/src/Game/Animation/BckCtrl.cpp	source exists but pc-port behavior/shape differs
Animation/BckCtrl.hpp	compat-temporary	no	decomp/include/Game/Animation/BckCtrl.hpp	source exists but pc-port behavior/shape differs
Animation/MaterialAnmBuffer.cpp	decomp-needed	no		no root implementation counterpart; declaration counterpart decomp/include/Game/Animation/MaterialAnmBuffer.hpp
Animation/MaterialAnmBuffer.hpp	compat-temporary	no	decomp/include/Game/Animation/MaterialAnmBuffer.hpp	source exists but pc-port behavior/shape differs
Animation/XanimeCore.cpp	compat-temporary	no	decomp/src/Game/Animation/XanimeCore.cpp	source exists but pc-port behavior/shape differs
Animation/XanimeCore.hpp	compat-temporary	no	decomp/include/Game/Animation/XanimeCore.hpp	source exists but pc-port behavior/shape differs
Animation/XanimeResource.cpp	compat-temporary	no	decomp/src/Game/Animation/XanimeResource.cpp	source exists but pc-port behavior/shape differs
AreaObj/AreaForm.hpp	compat-temporary	no	decomp/include/Game/AreaObj/AreaForm.hpp	source exists but pc-port behavior/shape differs
AreaObj/AreaObjContainer.cpp	compat-temporary	no	decomp/src/Game/AreaObj/AreaObjContainer.cpp	source exists but pc-port behavior/shape differs
AreaObj/MercatorTransformCube.hpp	compat-temporary	no	decomp/include/Game/AreaObj/MercatorTransformCube.hpp	source exists but pc-port behavior/shape differs
AudioLib/AudSoundObject.hpp	compat-temporary	no	decomp/include/Game/AudioLib/AudSoundObject.hpp	source exists but pc-port behavior/shape differs
Camera/CameraParamChunk.hpp	compat-temporary	yes	decomp/include/Game/Camera/CameraParamChunk.hpp	source exists but pc-port behavior/shape differs
Demo/DemoDirector.cpp	compat-temporary	no	decomp/src/Game/Demo/DemoDirector.cpp	source exists but pc-port behavior/shape differs
Demo/DemoFunction.cpp	compat-temporary	no	decomp/src/Game/Demo/DemoFunction.cpp	source exists but pc-port behavior/shape differs
Demo/DemoSimpleCastHolder.hpp	compat-temporary	no	decomp/include/Game/Demo/DemoSimpleCastHolder.hpp	source exists but pc-port behavior/shape differs
Effect/ParticleResourceHolder.cpp	decomp-needed	no		no root implementation counterpart; declaration counterpart decomp/include/Game/Effect/ParticleResourceHolder.hpp
