identity_name	format	width	height	packet_count	first_packet	last_packet
tex1_64x64_954efe1a0f883b01_2	IA4	64	64	114	256	682
tex1_64x64_bf6b255fcc7e743d_3	IA8	64	64	51	240	627
tex1_32x32_509e0117a294e1ca_3	IA8	32	32	36	271	511
tex1_64x64_ad7be326bfb86b4e_3	IA8	64	64	20	284	418
tex1_64x64_757444a162be8e08_3	IA8	64	64	16	421	514
tex1_32x32_3d9e5716dd285fb3_3	IA8	32	32	12	201	510
tex1_32x32_7007cd89081846c1_2	IA4	32	32	9	279	355
tex1_64x64_060a877eb9b28fa9_2	IA4	64	64	6	172	502
tex1_32x32_d268628b36cb98dc_1	I8	32	32	2	342	419
tex1_64x64_01afef50d5401fd6_3	IA8	64	64	2	516	628
tex1_64x64_759f88c54c42e3b7_1	I8	64	64	2	182	206
