source	status	first_error
src/Game/Player/DrawAdaptor.cpp	pass	-
src/Game/Player/FireMarioBall.cpp	fail	src/Game/Player/FireMarioBall.cpp:37:9: error: ‘connectToSceneEnemyDecoration’ is not a member of ‘MR’; did you mean ‘connectToSceneLayoutDecoration’?
src/Game/Player/J3DModelX.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DSys.hpp:121:19: error: too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/JetTurtleShadow.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DSys.hpp:121:19: error: too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/MarineSnow.cpp	fail	src/Game/Player/MarineSnow.cpp:12:15: error: invalid conversion from ‘int’ to ‘void*’ [-fpermissive]
src/Game/Player/Mario.cpp	fail	src/Game/Player/Mario.cpp:748:37: error: invalid operands of types ‘bool’ and ‘std::nullptr_t’ to binary ‘operator==’
src/Game/Player/Mario2D.cpp	pass	-
src/Game/Player/MarioAccess.cpp	fail	include/Game/Animation/XanimePlayer.hpp:72:16: error: ‘J3DModelData’ does not name a type; did you mean ‘J3DModel’?
src/Game/Player/MarioActor.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DGD.hpp:66:32: error: ‘_GXTlutSize’ has not been declared
src/Game/Player/MarioActorCamera.cpp	pass	-
src/Game/Player/MarioActorClap.cpp	pass	-
src/Game/Player/MarioActorDefensiveMsg.cpp	pass	-
src/Game/Player/MarioActorDraw.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DSys.hpp:121:19: error: too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/MarioActorEye.cpp	fail	src/Game/Player/MarioActorEye.cpp:28:16: error: invalid use of incomplete type ‘class J3DAnmTexPattern’
src/Game/Player/MarioActorGameOver.cpp	fail	src/Game/Player/MarioActorGameOver.cpp:134:9: error: ‘startStarPointerModeDemoMarioDeath’ is not a member of ‘MR’; did you mean ‘startStarPointerModeTitle’?
src/Game/Player/MarioActorGravity.cpp	fail	src/Game/Player/MarioActorGravity.cpp:54:34: error: call of overloaded ‘setFrontVecKeepUp(TVec3f&, long unsigned int)’ is ambiguous
src/Game/Player/MarioActorHand.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DSys.hpp:121:19: error: too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/MarioActorInit.cpp	pass	-
src/Game/Player/MarioActorMatrix.cpp	pass	-
src/Game/Player/MarioActorMorph.cpp	pass	-
src/Game/Player/MarioActorOffensiveMsg.cpp	fail	src/Game/Player/MarioActorOffensiveMsg.cpp:125:36: error: call of overloaded ‘calcGravityVectorOrZero(MarioActor*, TVec3f&, TVec3f*, GravityInfo*&, int)’ is ambiguous
src/Game/Player/MarioActorPad.cpp	fail	src/Game/Player/MarioActorPad.cpp:91:48: error: ‘isStarPointerPointing2P’ is not a member of ‘MR’; did you mean ‘isStarPointerPointingPane’?
src/Game/Player/MarioActorParts.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DGD.hpp:66:32: error: ‘_GXTlutSize’ has not been declared
src/Game/Player/MarioActorPunch.cpp	pass	-
src/Game/Player/MarioActorRush.cpp	pass	-
src/Game/Player/MarioActorRushMsg.cpp	pass	-
src/Game/Player/MarioActorSensor.cpp	fail	src/Game/Player/MarioActorSensor.cpp:85:18: error: invalid operands of types ‘u32’ {aka ‘unsigned int’} and ‘std::nullptr_t’ to binary ‘operator!=’
src/Game/Player/MarioActorShadow.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DSys.hpp:121:19: error: too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/MarioActorSpecialDraw.cpp	pass	-
src/Game/Player/MarioActorTakeMsg.cpp	fail	src/Game/Player/MarioActorTakeMsg.cpp:58:19: error: ‘using TVec3f = struct JGeometry::TVec3<float>’ {aka ‘struct JGeometry::TVec3<float>’} has no member named ‘set2’; did you mean ‘set’?
src/Game/Player/MarioActorWipe.cpp	pass	-
src/Game/Player/MarioAnimationEfx.cpp	fail	include/Game/Animation/XanimePlayer.hpp:72:16: error: ‘J3DModelData’ does not name a type; did you mean ‘J3DModel’?
src/Game/Player/MarioAnimator.cpp	fail	include/Game/Animation/XanimePlayer.hpp:72:16: error: ‘J3DModelData’ does not name a type; did you mean ‘J3DModel’?
src/Game/Player/MarioBee.cpp	fail	src/Game/Player/MarioBee.cpp:35:34: error: call of overloaded ‘setFrontVecKeepUp(TVec3f&, long unsigned int)’ is ambiguous
