table,entry_count,entry_size,field,hash,mask,offset,shift,bcsv_type
Action,36,24,PartName,0x4aaa853e,0xffffffff,8,0,6
Action,36,24,CastName,0x05f0168a,0xffffffff,12,0,6
Action,36,24,CastID,0x77e19cba,0xffffffff,0,0,0
Action,36,24,ActionType,0xe53352b0,0xffffffff,4,0,0
Action,36,24,PosName,0x4bd5eedf,0xffffffff,16,0,6
Action,36,24,AnimName,0xd46ba45c,0xffffffff,20,0,6
Camera,2,28,PartName,0x4aaa853e,0xffffffff,16,0,6
Camera,2,28,CameraTargetName,0xc60428e1,0xffffffff,20,0,6
Camera,2,28,CameraTargetCastID,0x42db2170,0xffffffff,0,0,0
Camera,2,28,AnimCameraName,0x61ba6061,0xffffffff,24,0,6
Camera,2,28,AnimCameraStartFrame,0x71570f81,0xffffffff,4,0,0
Camera,2,28,AnimCameraEndFrame,0x3acc8c28,0xffffffff,8,0,0
Camera,2,28,IsContinuous,0xa1cf23f9,0xffffffff,12,0,0
Player,5,12,PartName,0x4aaa853e,0xffffffff,0,0,6
Player,5,12,PosName,0x4bd5eedf,0xffffffff,4,0,6
Player,5,12,BckName,0x5253cdd5,0xffffffff,8,0,6
Sound,0,20,PartName,0x4aaa853e,0xffffffff,8,0,6
Sound,0,20,Bgm,0x000104a8,0xffffffff,12,0,6
Sound,0,20,SystemSe,0x79a31101,0xffffffff,16,0,6
Sound,0,20,ReturnBgm,0x40359958,0xffffffff,0,0,0
Sound,0,20,BgmWipeoutFrame,0xa8c280ce,0xffffffff,4,0,0
SubPart,0,16,SubPartName,0xf893ab5e,0xffffffff,8,0,6
SubPart,0,16,SubPartTotalStep,0x71e36f3d,0xffffffff,0,0,0
SubPart,0,16,MainPartName,0xed481617,0xffffffff,12,0,6
SubPart,0,16,MainPartStep,0xed4aa258,0xffffffff,4,0,0
Time,27,12,PartName,0x4aaa853e,0xffffffff,8,0,6
Time,27,12,TotalStep,0x55093410,0xffffffff,0,0,0
Time,27,12,SuspendFlag,0x99253da8,0xffffffff,4,0,0
Wipe,3,16,PartName,0x4aaa853e,0xffffffff,8,0,6
Wipe,3,16,WipeName,0xc4c78792,0xffffffff,12,0,6
Wipe,3,16,WipeType,0xc4ca9c41,0xffffffff,0,0,0
Wipe,3,16,WipeFrame,0xd3c03d46,0xffffffff,4,0,0
