row,part_name,cast_name,cast_id,action_type,pos_name,anim_name
0,ウサギ追いかけ[会話],デモウサギ,0,3,,
1,ウサギ追いかけ[逃走],デモウサギ,0,3,,
2,ウサギ追いかけ[逃走],デモウサギ,1,3,,
3,ウサギ追いかけ[逃走],デモウサギ,2,3,,
4,ウサギ追いかけ[フェードアウト],デモウサギ,0,2,,
5,ウサギ追いかけ[フェードイン],デモウサギ,0,2,,
6,ウサギ追いかけ[開始],逃げチコ,0,2,,
7,チコとの出会い[チコ変身],逃げチコ,0,3,,
8,チコとの出会い[ウサギ出現],デモウサギ,0,0,,
9,チコとの出会い[ウサギ会話],デモウサギ,0,3,,
10,チコとの出会い[ウサギ逃走],デモウサギ,0,3,,
11,チコとの出会い[開始],逃げチコ,0,2,,
12,スピンゲット[デモ1],ロゼッタ,-1,2,MarioDemoPos4,
13,スピンゲット[デモ1],ベビチコ,0,2,MarioDemoPos4,
14,高楼出現[フェードアウト],ロゼッタ,-1,2,,
15,高楼出現[フェードイン],ロゼッタ,-1,2,,
16,高楼出現[デモ後],ロゼッタ,-1,2,,
17,高楼出現[フェードイン],逃げチコ,0,1,,
18,高楼出現[フェードイン],逃げチコ,1,2,,
19,高楼出現[フェードイン],逃げチコ,2,2,,
20,高楼出現[デモ],ロゼッタ,-1,2,,
21,スピンゲット[デモ8],チコ,0,0,,
22,高楼出現[フェードイン],ヘブンズドアミステリアス惑星階段（デモ後）,-1,0,,
23,高楼出現[フェードイン],ヘブンズドアミステリアス惑星階段（デモ中）,-1,1,,
24,スピンゲット[会話2],ロゼッタ,-1,9,,
25,スピンゲット[会話1],ロゼッタ,-1,9,,
26,スピンゲット[会話4],ロゼッタ,-1,9,,
27,スピンゲット[デモ8],ロゼッタ,-1,13,,
28,スピンゲット[デモ8],ライトドーム,-1,1,,
29,スピンゲット[デモ8],ロゼッタ,-1,1,,
30,スピンゲット[会話3],ロゼッタ,-1,9,,
31,高楼出現[デモ後],ライト後光,-1,0,,appear
32,スピンゲット[デモ8],ベビチコ,-1,1,,
33,高楼出現[デモ],ロゼッタ,-1,4,,
34,高楼出現[デモ],ロゼッタ,-1,5,,
35,高楼出現[デモ後],ロゼッタ,-1,0,,
