row,part_name,total_step,suspend_flag,spin_relative_start,spin_relative_end
0,チコとの出会い[開始],930,0,,
1,チコとの出会い[チコ変身],75,0,,
2,チコとの出会い[ウサギ出現],75,0,,
3,チコとの出会い[マリオアニメ],15,0,,
4,チコとの出会い[ウサギ会話],1,0,,
5,チコとの出会い[ウサギ逃走],30,1,,
6,ウサギ追いかけ[フェードアウト],60,0,,
7,ウサギ追いかけ[フェードイン],60,0,,
8,ウサギ追いかけ[会話],5,0,,
9,ウサギ追いかけ[逃走],78,0,,
10,ウサギ追いかけ[開始],2,1,,
11,高楼出現[デモ],300,0,,
12,高楼出現[デモ後],120,0,,
13,高楼出現[フェードアウト],60,0,,
14,高楼出現[フェードイン],1,1,,
15,スピンゲット[デモ1],420,0,0,419
16,スピンゲット[会話1],120,0,420,539
17,スピンゲット[デモ2],150,0,540,689
18,スピンゲット[会話2],120,0,690,809
19,スピンゲット[デモ3],240,0,810,1049
20,スピンゲット[会話3],120,0,1050,1169
21,スピンゲット[デモ4],500,0,1170,1669
22,スピンゲット[デモ5],60,0,1670,1729
23,スピンゲット[会話4],120,0,1730,1849
24,スピンゲット[デモ6],370,0,1850,2219
25,スピンゲット[デモ7],330,0,2220,2549
26,スピンゲット[デモ8],1,0,2550,2550
