row_index	category	name	detail
189	name_obj_lifecycle	archive_request	object=PrologueDirector;archive=DemoLetter;kind=object;loaded=true;disc_path=DemoLetter.arc
190	name_obj_lifecycle	archive_request	object=PrologueDirector;archive=PeachLetterMini;kind=layout;loaded=true;disc_path=PeachLetterMini.arc
191	name_obj_lifecycle	archive_request	object=PrologueDirector;archive=PrologueDemo;kind=layout;loaded=true;disc_path=PrologueDemo.arc
192	name_obj_lifecycle	archive_request	object=PrologueDirector;archive=DemoPeachCastleGate;kind=object;loaded=true;disc_path=DemoPeachCastleGate.arc
193	name_obj_lifecycle	construct	object=PrologueDirector;actor=プロローグデモ
195	name_obj_lifecycle	init_from_placement	object=プロローグデモ;stage=PeachCastleGardenGalaxy;zone=PeachCastleGardenGalaxy;table=jmp/placement/layera/objinfo;row=88;l_id=136
196	name_obj_lifecycle	connect_to_scene	object=プロローグデモ;kind=name_obj;movement=34;calc_anim=-1;draw_buffer=-1;draw_type=-1
1008	placement	stage_object_deduplicated	stage=PeachCastleGardenGalaxy;object=PrologueDirector;table=jmp/placement/layera/objinfo;row=88;reason=explicit_root_same_data_identity
1477	name_obj_lifecycle	init_after_placement	object=プロローグデモ
1631	name_obj_lifecycle	appear	object=プロローグデモ
