type	class_source	translator_source	root_sources_present	native_class_source_present	native_translator_source_present
CAM_TYPE_XZ_PARA	src/Game/Camera/CameraParallel.cpp	src/Game/Camera/CamTranslatorParallel.cpp	true	true	true
CAM_TYPE_TOWER	src/Game/Camera/CameraTower.cpp	src/Game/Camera/CamTranslatorTower.cpp	true	false	false
CAM_TYPE_FOLLOW	src/Game/Camera/CameraFollow.cpp	src/Game/Camera/CamTranslatorFollow.cpp	true	false	false
CAM_TYPE_WONDER_PLANET	src/Game/Camera/CameraWonderPlanet.cpp	src/Game/Camera/CamTranslatorWonderPlanet.cpp	true	false	false
CAM_TYPE_POINT_FIX	src/Game/Camera/CameraFix.cpp	src/Game/Camera/CamTranslatorFix.cpp	true	false	false
CAM_TYPE_EYEPOS_FIX	src/Game/Camera/CameraFixedPoint.cpp	src/Game/Camera/CamTranslatorFixedPoint.cpp	true	true	true
CAM_TYPE_SLIDER	src/Game/Camera/CameraBehind.cpp	src/Game/Camera/CamTranslatorBehind.cpp	true	false	false
CAM_TYPE_INWARD_TOWER	src/Game/Camera/CameraInwardTower.cpp	src/Game/Camera/CamTranslatorInwardTower.cpp	true	false	false
CAM_TYPE_EYEPOS_FIX_THERE	src/Game/Camera/CameraFixedThere.cpp	src/Game/Camera/CamTranslatorFixedThere.cpp	true	false	false
CAM_TYPE_TRIPOD_BOSS	src/Game/Camera/CameraTripodBoss.cpp	src/Game/Camera/CamTranslatorTripodBoss.cpp	true	false	false
CAM_TYPE_TOWER_POS	src/Game/Camera/CameraTowerPos.cpp	src/Game/Camera/CamTranslatorTowerPos.cpp	true	false	false
CAM_TYPE_TRIPOD_PLANET	src/Game/Camera/CameraTripodPlanet.cpp	src/Game/Camera/CamTranslatorTripodPlanet.cpp	true	false	false
CAM_TYPE_DEAD	src/Game/Camera/CameraDead.cpp	src/Game/Camera/CamTranslatorDead.cpp	true	false	false
CAM_TYPE_INWARD_SPHERE	src/Game/Camera/CameraInwardSphere.cpp	src/Game/Camera/CamTranslatorInwardSphere.cpp	true	false	false
CAM_TYPE_RAIL_DEMO	src/Game/Camera/CameraRailDemo.cpp	src/Game/Camera/CamTranslatorRailDemo.cpp	true	false	false
CAM_TYPE_RAIL_FOLLOW	src/Game/Camera/CameraRailFollow.cpp	src/Game/Camera/CamTranslatorRailFollow.cpp	true	false	false
CAM_TYPE_TRIPOD_BOSS_JOINT	src/Game/Camera/CameraTripodBossJoint.cpp	src/Game/Camera/CamTranslatorTripodBossJoint.cpp	true	false	false
CAM_TYPE_CHARMED_TRIPOD_BOSS	src/Game/Camera/CameraCharmedTripodBoss.cpp	src/Game/Camera/CamTranslatorCharmedTripodBoss.cpp	true	false	false
CAM_TYPE_OBJ_PARALLEL	src/Game/Camera/CameraObjParallel.cpp	src/Game/Camera/CamTranslatorObjParallel.cpp	true	false	false
CAM_TYPE_CHARMED_FIX	src/Game/Camera/CameraCharmedFix.cpp	src/Game/Camera/CamTranslatorCharmedFix.cpp	true	false	false
CAM_TYPE_GROUND	src/Game/Camera/CameraGround.cpp	src/Game/Camera/CamTranslatorGround.cpp	true	false	false
CAM_TYPE_TRUNDLE	src/Game/Camera/CameraTrundle.cpp	src/Game/Camera/CamTranslatorTrundle.cpp	true	false	false
CAM_TYPE_CUBE_PLANET	src/Game/Camera/CameraCubePlanet.cpp	src/Game/Camera/CamTranslatorCubePlanet.cpp	true	false	false
CAM_TYPE_INNER_CYLINDER	src/Game/Camera/CameraInnerCylinder.cpp	src/Game/Camera/CamTranslatorInnerCylinder.cpp	true	false	false
CAM_TYPE_SPIRAL_DEMO	src/Game/Camera/CameraSpiral.cpp	src/Game/Camera/CamTranslatorSpiral.cpp	true	false	false
CAM_TYPE_TALK	src/Game/Camera/CameraTalk.cpp	src/Game/Camera/CamTranslatorTalk.cpp	true	false	false
CAM_TYPE_MTXREG_PARALLEL	src/Game/Camera/CameraMtxRegParallel.cpp	src/Game/Camera/CamTranslatorMtxRegParallel.cpp	true	false	false
CAM_TYPE_CHARMED_VECREG	src/Game/Camera/CameraCharmedVecReg.cpp	src/Game/Camera/CamTranslatorCharmedVecReg.cpp	true	false	false
CAM_TYPE_MEDIAN_PLANET	src/Game/Camera/CameraMedianPlanet.cpp	src/Game/Camera/CamTranslatorMedianPlanet.cpp	true	false	false
CAM_TYPE_TWISTED_PASSAGE	src/Game/Camera/CameraTwistedPassage.cpp	src/Game/Camera/CamTranslatorTwistedPassage.cpp	true	false	false
