player_tu	source_status	native_syntax_status	frontier_gate
DrawAdaptor	present	pass	native-parseable
FireMarioBall	present	fail	syntax-blocked
J3DModelX	present	fail	syntax-blocked
JetTurtleShadow	present	fail	syntax-blocked
MarineSnow	present	fail	syntax-blocked
Mario	present	fail	syntax-blocked
Mario2D	present	pass	native-parseable
MarioAccess	present	fail	syntax-blocked
MarioActor	present	fail	syntax-blocked
MarioActorCamera	present	pass	native-parseable
MarioActorClap	present	pass	native-parseable
MarioActorDefensiveMsg	present	pass	native-parseable
MarioActorDraw	present	fail	syntax-blocked
MarioActorEye	present	fail	syntax-blocked
MarioActorGameOver	present	fail	syntax-blocked
MarioActorGravity	present	fail	syntax-blocked
MarioActorHand	present	fail	syntax-blocked
MarioActorInit	present	pass	native-parseable
MarioActorMatrix	present	pass	native-parseable
MarioActorMorph	present	pass	native-parseable
MarioActorOffensiveMsg	present	fail	syntax-blocked
MarioActorPad	present	fail	syntax-blocked
MarioActorParts	present	fail	syntax-blocked
MarioActorPunch	present	pass	native-parseable
MarioActorRush	present	pass	native-parseable
MarioActorRushMsg	present	pass	native-parseable
MarioActorSensor	present	fail	syntax-blocked
MarioActorShadow	present	fail	syntax-blocked
MarioActorSpecialDraw	present	pass	native-parseable
MarioActorTakeMsg	present	fail	syntax-blocked
MarioActorWipe	present	pass	native-parseable
MarioAnimationEfx	present	fail	syntax-blocked
MarioAnimator	present	fail	syntax-blocked
MarioBee	present	fail	syntax-blocked
MarioBlown	present	pass	native-parseable
MarioBump	present	pass	native-parseable
MarioClimb	present	pass	native-parseable
MarioCollision	present	fail	syntax-blocked
MarioConst	present	pass	native-parseable
MarioDamage	present	pass	native-parseable
MarioDamageCrush	present	fail	syntax-blocked
MarioDamageFreeze	present	pass	native-parseable
MarioDamageParalyze	present	pass	native-parseable
MarioDamageStun	present	pass	native-parseable
MarioEffect	present	fail	syntax-blocked
MarioEnforce	present	fail	syntax-blocked
MarioFaint	present	pass	native-parseable
MarioFlip	present	pass	native-parseable
MarioFlow	present	pass	native-parseable
MarioFoo	present	fail	syntax-blocked
MarioFpView	present	fail	syntax-blocked
MarioFrontStep	present	pass	native-parseable
MarioHang	absent	not attempted	source-absent
MarioHolder	present	pass	native-parseable
MarioInit	present	fail	syntax-blocked
MarioJump	present	fail	syntax-blocked
MarioMagic	present	pass	native-parseable
MarioMapCode	present	pass	native-parseable
MarioMessenger	present	pass	native-parseable
MarioModule	present	fail	syntax-blocked
MarioMove	present	fail	syntax-blocked
MarioMove25D	present	pass	native-parseable
MarioMove2D	present	pass	native-parseable
MarioMoveSphere	present	pass	native-parseable
MarioNullBck	present	pass	native-parseable
MarioParts	present	pass	native-parseable
MarioPress	present	fail	syntax-blocked
MarioRabbit	present	pass	native-parseable
MarioRecovery	present	pass	native-parseable
MarioSearchLight	present	fail	syntax-blocked
MarioShadow	absent	not attempted	source-absent
MarioSideStep	present	pass	native-parseable
MarioSkate	present	pass	native-parseable
MarioSlider	present	fail	syntax-blocked
MarioSlip	present	pass	native-parseable
MarioSlope	present	pass	native-parseable
MarioSound	present	fail	syntax-blocked
MarioSpecial	present	fail	syntax-blocked
MarioSpin	present	pass	native-parseable
MarioState	present	pass	native-parseable
MarioStep	present	pass	native-parseable
MarioStick	present	fail	syntax-blocked
MarioSukekiyo	present	pass	native-parseable
MarioSwim	present	fail	syntax-blocked
MarioSwimDamage	present	pass	native-parseable
MarioTalk	present	pass	native-parseable
MarioTask	present	pass	native-parseable
MarioTeresa	absent	not attempted	source-absent
MarioWait	present	fail	syntax-blocked
MarioWalk	present	fail	syntax-blocked
MarioWall	present	pass	native-parseable
MarioWarp	present	pass	native-parseable
MatrixControl	present	pass	native-parseable
ModelHolder	present	fail	syntax-blocked
RushEndInfo	present	pass	native-parseable
TornadoMario	present	pass	native-parseable
