symbol	demangled	category	pc_archive_provider	pc_archive_status
C_MTXConcat	C_MTXConcat	other Game/runtime provider	libaurora-mtx.a[mtx.c.o]	provided
C_MTXCopy	C_MTXCopy	other Game/runtime provider	libaurora-mtx.a[mtx.c.o]	provided
C_MTXIdentity	C_MTXIdentity	other Game/runtime provider	libaurora-mtx.a[mtx.c.o]	provided
C_MTXMultVec	C_MTXMultVec	other Game/runtime provider	libaurora-mtx.a[mtxvec.c.o]	provided
C_MTXMultVecSR	C_MTXMultVecSR	other Game/runtime provider	libaurora-mtx.a[mtxvec.c.o]	provided
C_MTXRotAxisRad	C_MTXRotAxisRad	other Game/runtime provider	libaurora-mtx.a[mtx.c.o]	provided
C_VECCrossProduct	C_VECCrossProduct	other Game/runtime provider	libaurora-mtx.a[vec.c.o]	provided
GXCopyTex	GXCopyTex	RVL/platform	libaurora-gx.a[GXFrameBuffer.cpp.o]	provided
GXSetAlphaUpdate	GXSetAlphaUpdate	RVL/platform	libaurora-gx.a[GXPixel.cpp.o]	provided
GXSetColorUpdate	GXSetColorUpdate	RVL/platform	libaurora-gx.a[GXPixel.cpp.o]	provided
GXSetCopyClear	GXSetCopyClear	RVL/platform	libaurora-gx.a[GXFrameBuffer.cpp.o]	provided
GXSetDstAlpha	GXSetDstAlpha	RVL/platform	libaurora-gx.a[GXPixel.cpp.o]	provided
GXSetTexCopyDst	GXSetTexCopyDst	RVL/platform	libaurora-gx.a[GXFrameBuffer.cpp.o]	provided
GXSetTexCopySrc	GXSetTexCopySrc	RVL/platform	libaurora-gx.a[GXFrameBuffer.cpp.o]	provided
_Unwind_Resume	_Unwind_Resume	native compiler/system runtime		not found in PC archives
_Z13JMAAcosRadianf	JMAAcosRadian(float)	native compiler/system runtime	libsmg-pc-game.a[NPCActorCompat.cpp.o]	provided
_ZN10MarioActor10hideBeeFurEv	MarioActor::hideBeeFur()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor10playEffectEPKc	MarioActor::playEffect(char const*)	effects/audio		not found in PC archives
_ZN10MarioActor10stopEffectEPKc	MarioActor::stopEffect(char const*)	effects/audio		not found in PC archives
_ZN10MarioActor10updateFaceEv	MarioActor::updateFace()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor10updateHandEv	MarioActor::updateHand()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor11exeGameOverEv	MarioActor::exeGameOver()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor11exeTimeWaitEv	MarioActor::exeTimeWait()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor11trampleJumpEff	MarioActor::trampleJump(float, float)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor12decLifeLargeEv	MarioActor::decLifeLarge()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor12decLifeSmallEv	MarioActor::decLifeSmall()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor13createIceWallERKN9JGeometry5TVec3IfEES4_	MarioActor::createIceWall(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN10MarioActor13decLifeMiddleEv	MarioActor::decLifeMiddle()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor13forceGameOverEv	MarioActor::forceGameOver()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor13resetPadSwingEv	MarioActor::resetPadSwing()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor13stopAnimationEPKc	MarioActor::stopAnimation(char const*)	J3D/model/animation		not found in PC archives
_ZN10MarioActor13updateAlphaDLEh	MarioActor::updateAlphaDL(unsigned char)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor13updateTornadoEv	MarioActor::updateTornado()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor15changeAnimationEPKcS1_	MarioActor::changeAnimation(char const*, char const*)	J3D/model/animation		not found in PC archives
_ZN10MarioActor15exeGameOverFireEv	MarioActor::exeGameOverFire()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor15exeGameOverSinkEv	MarioActor::exeGameOverSink()	native compiler/system runtime		not found in PC archives
_ZN10MarioActor15hideFreezeModelEv	MarioActor::hideFreezeModel()	J3D/model/animation		not found in PC archives
_ZN10MarioActor15playEffectTransEPKcRKN9JGeometry5TVec3IfEE	MarioActor::playEffectTrans(char const*, JGeometry::TVec3<float> const&)	effects/audio		not found in PC archives
_ZN10MarioActor15showFreezeModelEv	MarioActor::showFreezeModel()	J3D/model/animation		not found in PC archives
_ZN10MarioActor15updateFairyStarEv	MarioActor::updateFairyStar()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor16exeGameOverAbyssEv	MarioActor::exeGameOverAbyss()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor16resetSensorCountEv	MarioActor::resetSensorCount()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor16setBlendMtxTimerEt	MarioActor::setBlendMtxTimer(unsigned short)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor16setPunchHitTimerEh	MarioActor::setPunchHitTimer(unsigned char)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor16updateGravityVecEbb	MarioActor::updateGravityVec(bool, bool)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor17updateHandAtMorphEv	MarioActor::updateHandAtMorph()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor18changeHandMaterialEv	MarioActor::changeHandMaterial()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor18exeGameOverNonStopEv	MarioActor::exeGameOverNonStop()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor18forceGameOverAbyssEv	MarioActor::forceGameOverAbyss()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor19changeNullAnimationEPKca	MarioActor::changeNullAnimation(char const*, signed char)	J3D/model/animation		not found in PC archives
_ZN10MarioActor19finalizeFreezeModelEv	MarioActor::finalizeFreezeModel()	J3D/model/animation		not found in PC archives
_ZN10MarioActor19memorizeSensorThrowEP9HitSensor	MarioActor::memorizeSensorThrow(HitSensor*)	HitSensor		not found in PC archives
_ZN10MarioActor20forceGameOverNonStopEv	MarioActor::forceGameOverNonStop()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor20tryReleaseBombTeresaEv	MarioActor::tryReleaseBombTeresa()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor21exeGameOverBlackHole2Ev	MarioActor::exeGameOverBlackHole2()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor22runTeresaBaseAnimationEv	MarioActor::runTeresaBaseAnimation()	J3D/model/animation		not found in PC archives
_ZN10MarioActor23changeGameOverAnimationEv	MarioActor::changeGameOverAnimation()	J3D/model/animation		not found in PC archives
_ZN10MarioActor23rushDropThrowMemoSensorEv	MarioActor::rushDropThrowMemoSensor()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor25damageDropThrowMemoSensorEv	MarioActor::damageDropThrowMemoSensor()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7decLifeEt	MarioActor::decLife(unsigned short)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7endRushEPK11RushEndInfo	MarioActor::endRush(RushEndInfo const*)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7exeWaitEv	MarioActor::exeWait()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7jumpHopEv	MarioActor::jumpHop()	other Game/runtime provider		not found in PC archives
