symbol	category	provider_object	provider_candidate_count	pc_status
C_MTXOrtho	RVL/platform	RVL_SDK/mtx/mtx44.o	1	Aurora subsystem present; retail API compatibility incomplete
DCStoreRange	RVL/platform	RVL_SDK/os/OSCache.o	1	Aurora subsystem present; retail API compatibility incomplete
DCStoreRangeNoSync	RVL/platform	RVL_SDK/os/OSCache.o	1	Aurora subsystem present; retail API compatibility incomplete
GDInitGDLObj	RVL/platform	RVL_SDK/gd/GDBase.o	1	Aurora subsystem present; retail API compatibility incomplete
GDPadCurr32	RVL/platform	RVL_SDK/gd/GDBase.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetAlphaCompare	RVL/platform	RVL_SDK/gd/GDTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetBlendMode	RVL/platform	RVL_SDK/gd/GDPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetBlendModeEtc	RVL/platform	RVL_SDK/gd/GDPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetChanAmbColor	RVL/platform	RVL_SDK/gd/GDLight.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetChanCtrl	RVL/platform	RVL_SDK/gd/GDLight.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetChanMatColor	RVL/platform	RVL_SDK/gd/GDLight.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetCullMode	RVL/platform	RVL_SDK/gd/GDGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetDstAlpha	RVL/platform	RVL_SDK/gd/GDPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetFog	RVL/platform	RVL_SDK/gd/GDPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetGenMode	RVL/platform	RVL_SDK/gd/GDGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetGenMode2	RVL/platform	RVL_SDK/gd/GDGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTevAlphaCalcAndSwap	RVL/platform	RVL_SDK/gd/GDTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTevColor	RVL/platform	RVL_SDK/gd/GDTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTevColorCalc	RVL/platform	RVL_SDK/gd/GDTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTevDirect	RVL/platform	RVL_SDK/gd/GDIndirect.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTevOrder	RVL/platform	RVL_SDK/gd/GDTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTexCoordGen	RVL/platform	RVL_SDK/gd/GDGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTexImgAttr	RVL/platform	RVL_SDK/gd/GDTexture.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTexImgPtr	RVL/platform	RVL_SDK/gd/GDTexture.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetTexLookupMode	RVL/platform	RVL_SDK/gd/GDTexture.o	1	Aurora subsystem present; retail API compatibility incomplete
GDSetZMode	RVL/platform	RVL_SDK/gd/GDPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GXBegin	RVL/platform	RVL_SDK/gx/GXGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GXCallDisplayList	RVL/platform	RVL_SDK/gx/GXDisplayList.o	1	Aurora subsystem present; retail API compatibility incomplete
GXClearVtxDesc	RVL/platform	RVL_SDK/gx/GXAttr.o	1	Aurora subsystem present; retail API compatibility incomplete
GXCopyTex	RVL/platform	RVL_SDK/gx/GXFrameBuf.o	1	Aurora subsystem present; retail API compatibility incomplete
GXDrawDone	RVL/platform	RVL_SDK/gx/GXMisc.o	1	Aurora subsystem present; retail API compatibility incomplete
GXInitTexObj	RVL/platform	RVL_SDK/gx/GXTexture.o	1	Aurora subsystem present; retail API compatibility incomplete
GXInvalidateTexAll	RVL/platform	RVL_SDK/gx/GXTexture.o	1	Aurora subsystem present; retail API compatibility incomplete
GXLoadPosMtxImm	RVL/platform	RVL_SDK/gx/GXTransform.o	1	Aurora subsystem present; retail API compatibility incomplete
GXLoadTexObj	RVL/platform	RVL_SDK/gx/GXTexture.o	1	Aurora subsystem present; retail API compatibility incomplete
GXPixModeSync	RVL/platform	RVL_SDK/gx/GXMisc.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetAlphaCompare	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetAlphaUpdate	RVL/platform	RVL_SDK/gx/GXPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetBlendMode	RVL/platform	RVL_SDK/gx/GXPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetColorUpdate	RVL/platform	RVL_SDK/gx/GXPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetCopyClear	RVL/platform	RVL_SDK/gx/GXFrameBuf.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetCopyFilter	RVL/platform	RVL_SDK/gx/GXFrameBuf.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetCullMode	RVL/platform	RVL_SDK/gx/GXGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetDstAlpha	RVL/platform	RVL_SDK/gx/GXPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetLineWidth	RVL/platform	RVL_SDK/gx/GXGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetMisc	RVL/platform	RVL_SDK/gx/GXMisc.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetPointSize	RVL/platform	RVL_SDK/gx/GXGeometry.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetProjection	RVL/platform	RVL_SDK/gx/GXTransform.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetScissor	RVL/platform	RVL_SDK/gx/GXTransform.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTevAlphaIn	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
