row	tu	root_source	pc_mirror	pre_sync	post_sync	production
1	DrawAdaptor	src/Game/Player/DrawAdaptor.cpp	pc-port/src/Game/Player/DrawAdaptor.cpp	absent	exact	explicitly-excluded
2	FireMarioBall	src/Game/Player/FireMarioBall.cpp	pc-port/src/Game/Player/FireMarioBall.cpp	absent	exact	explicitly-excluded
3	J3DModelX	src/Game/Player/J3DModelX.cpp	pc-port/src/Game/Player/J3DModelX.cpp	absent	exact	explicitly-excluded
4	JetTurtleShadow	src/Game/Player/JetTurtleShadow.cpp	pc-port/src/Game/Player/JetTurtleShadow.cpp	absent	exact	explicitly-excluded
5	MarineSnow	src/Game/Player/MarineSnow.cpp	pc-port/src/Game/Player/MarineSnow.cpp	absent	exact	explicitly-excluded
6	Mario	src/Game/Player/Mario.cpp	pc-port/src/Game/Player/Mario.cpp	absent	exact	explicitly-excluded
7	Mario2D	src/Game/Player/Mario2D.cpp	pc-port/src/Game/Player/Mario2D.cpp	absent	exact	explicitly-excluded
8	MarioAccess	src/Game/Player/MarioAccess.cpp	pc-port/src/Game/Player/MarioAccess.cpp	absent	exact	explicitly-excluded
9	MarioActor	src/Game/Player/MarioActor.cpp	pc-port/src/Game/Player/MarioActor.cpp	absent	exact	explicitly-excluded
10	MarioActorCamera	src/Game/Player/MarioActorCamera.cpp	pc-port/src/Game/Player/MarioActorCamera.cpp	absent	exact	explicitly-excluded
11	MarioActorClap	src/Game/Player/MarioActorClap.cpp	pc-port/src/Game/Player/MarioActorClap.cpp	absent	exact	explicitly-excluded
12	MarioActorDefensiveMsg	src/Game/Player/MarioActorDefensiveMsg.cpp	pc-port/src/Game/Player/MarioActorDefensiveMsg.cpp	absent	exact	explicitly-excluded
13	MarioActorDraw	src/Game/Player/MarioActorDraw.cpp	pc-port/src/Game/Player/MarioActorDraw.cpp	absent	exact	explicitly-excluded
14	MarioActorEye	src/Game/Player/MarioActorEye.cpp	pc-port/src/Game/Player/MarioActorEye.cpp	absent	exact	explicitly-excluded
15	MarioActorGameOver	src/Game/Player/MarioActorGameOver.cpp	pc-port/src/Game/Player/MarioActorGameOver.cpp	absent	exact	explicitly-excluded
16	MarioActorGravity	src/Game/Player/MarioActorGravity.cpp	pc-port/src/Game/Player/MarioActorGravity.cpp	absent	exact	explicitly-excluded
17	MarioActorHand	src/Game/Player/MarioActorHand.cpp	pc-port/src/Game/Player/MarioActorHand.cpp	absent	exact	explicitly-excluded
18	MarioActorInit	src/Game/Player/MarioActorInit.cpp	pc-port/src/Game/Player/MarioActorInit.cpp	absent	exact	explicitly-excluded
19	MarioActorMatrix	src/Game/Player/MarioActorMatrix.cpp	pc-port/src/Game/Player/MarioActorMatrix.cpp	absent	exact	explicitly-excluded
20	MarioActorMorph	src/Game/Player/MarioActorMorph.cpp	pc-port/src/Game/Player/MarioActorMorph.cpp	absent	exact	explicitly-excluded
21	MarioActorOffensiveMsg	src/Game/Player/MarioActorOffensiveMsg.cpp	pc-port/src/Game/Player/MarioActorOffensiveMsg.cpp	absent	exact	explicitly-excluded
22	MarioActorPad	src/Game/Player/MarioActorPad.cpp	pc-port/src/Game/Player/MarioActorPad.cpp	absent	exact	explicitly-excluded
23	MarioActorParts	src/Game/Player/MarioActorParts.cpp	pc-port/src/Game/Player/MarioActorParts.cpp	absent	exact	explicitly-excluded
24	MarioActorPunch	src/Game/Player/MarioActorPunch.cpp	pc-port/src/Game/Player/MarioActorPunch.cpp	absent	exact	explicitly-excluded
25	MarioActorRush	src/Game/Player/MarioActorRush.cpp	pc-port/src/Game/Player/MarioActorRush.cpp	absent	exact	explicitly-excluded
26	MarioActorRushMsg	src/Game/Player/MarioActorRushMsg.cpp	pc-port/src/Game/Player/MarioActorRushMsg.cpp	absent	exact	explicitly-excluded
27	MarioActorSensor	src/Game/Player/MarioActorSensor.cpp	pc-port/src/Game/Player/MarioActorSensor.cpp	absent	exact	explicitly-excluded
28	MarioActorShadow	src/Game/Player/MarioActorShadow.cpp	pc-port/src/Game/Player/MarioActorShadow.cpp	absent	exact	explicitly-excluded
29	MarioActorSpecialDraw	src/Game/Player/MarioActorSpecialDraw.cpp	pc-port/src/Game/Player/MarioActorSpecialDraw.cpp	absent	exact	explicitly-excluded
