rel_path	pc_path	group	owned_contract	sha256
camera/CameraParam.cpp	pc-port/src/camera/CameraParam.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	8532e8fbe09d804b7d72f2e2ea222fe1609fb21f14edd62b44b36909213dc0e5
camera/CameraParam.hpp	pc-port/src/camera/CameraParam.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	893a221a7cc3b7d6abba2648fd803be0ad3523e72fe6e450e3d392a2115df2a4
camera/CameraPose.cpp	pc-port/src/camera/CameraPose.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	0609253e2c81fc0ff5571c282f8995dd71f9f9705f6a82b3bf504008a58e6761
camera/CameraPose.hpp	pc-port/src/camera/CameraPose.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	2dbb78fd24e97818a315283dae97bc3cada1f32ae24484c1d5635dd76d707951
layout/BrfntFont.cpp	pc-port/src/layout/BrfntFont.cpp	resource-message-font-texture	DVD/RARC/Yaz0/BCSV/BMG/BRFNT/TPL/text resource services	90da6cb3606e0bb117c4853f7918f6733a8f220ee75a7e1de3f8d36f469e9fed
layout/BrfntFont.hpp	pc-port/src/layout/BrfntFont.hpp	resource-message-font-texture	DVD/RARC/Yaz0/BCSV/BMG/BRFNT/TPL/text resource services	8a1cb6d9d6228acfc657bc43c595088baa76b934363b69a4fb908cb0b6db8bdc
layout/BrlanAnimation.cpp	pc-port/src/layout/BrlanAnimation.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	18b18478d5b31b4e3fd65599869ae7781e0659112e8536943b1f783331e31fab
layout/BrlanAnimation.hpp	pc-port/src/layout/BrlanAnimation.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	547799076a4611942edd3c142bee3f5694f269147cd8bc0c86364c40cc1e570b
layout/BrlytLayout.cpp	pc-port/src/layout/BrlytLayout.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	4e5d55800387b0c935e2f029733ee30a7c3875e4eabed13dcea042daa2ed50a1
layout/BrlytLayout.hpp	pc-port/src/layout/BrlytLayout.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	7fc2c405a4bdb237bd55b3586a72379a44d808bd2ef6021fcffc536235b99026
layout/LytTexMap.cpp	pc-port/src/layout/LytTexMap.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	7a03baa3d6a6260e0bcacfd5ffcd85ec28e5f9276f0bae27603eaec1c45edbd8
layout/LytTexMap.hpp	pc-port/src/layout/LytTexMap.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	2db282b1004fe75a3fd3b0a62fca8a8799c39a2f1d1ba963ed29de673f1101a6
render/GXState.cpp	pc-port/src/render/GXState.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	2ae65d39fde4d41e742a69060ba622747b289735283d70779492dad78970e926
render/GXState.hpp	pc-port/src/render/GXState.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	92b1132611b46e8c85220578564b5b9fe5b57e3a0934b7bd8c1e050da01b178a
render/J3dAnimation.cpp	pc-port/src/render/J3dAnimation.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	8ab59646879e77966034761139074a11087da0d696ae804c162ab1b019cdf863
render/J3dAnimation.hpp	pc-port/src/render/J3dAnimation.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	ebc0f05ec6fe7caaae87c6232d00404e6f5cea3a4864c87e7c4d71d723128803
render/J3dMaterialRuntime.cpp	pc-port/src/render/J3dMaterialRuntime.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	842758f0f45c11ffdd8c4cbd85b2361dc6ba963925782ef4ef0cb445a0ac668e
render/J3dMaterialRuntime.hpp	pc-port/src/render/J3dMaterialRuntime.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	ba59183cc1dfe749224265406aefabc02fa9bc0f402642c598748066a36f7878
render/J3dMatrix.cpp	pc-port/src/render/J3dMatrix.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	38943206c50f66534c541807f450beba03b79eee2ff94cde76d8775d83e1dfd9
render/J3dMatrix.hpp	pc-port/src/render/J3dMatrix.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	492226a56889065176278d2600d6e4ba4f320455382897b25d5380ef4e5ff71b
render/J3dModel.cpp	pc-port/src/render/J3dModel.cpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	73c231a246a90a79afcf5500a035c61ab31e5071ac2e969f4ff0dc8868c4d497
render/J3dModel.hpp	pc-port/src/render/J3dModel.hpp	render-gx-j3d-brlyt	GX/J3D/BRLYT/camera/light/render-state services expected by original Game code	d9147a053f54784e60f657f94801f076d92f646a30cf0ee1422ec25efabbf4ef
